time	V(vi)	V(vo)
2.930712071531465e-02	-4.217268e-01	-1.300507e+01
2.950243321531465e-02	-3.075626e-01	-1.300508e+01
2.969774571531466e-02	-1.887724e-01	-1.300510e+01
2.989305821531466e-02	-6.714296e-02	-1.300511e+01
3.008837071531466e-02	5.549643e-02	-1.300513e+01
3.028368321531466e-02	1.773011e-01	-1.300515e+01
3.047899571531467e-02	2.964390e-01	-1.300516e+01
3.067430821531467e-02	4.111182e-01	-1.300518e+01
3.086962071531467e-02	5.196137e-01	-1.300519e+01
3.106493321531468e-02	6.202939e-01	-1.300521e+01
3.126024571531467e-02	7.116442e-01	-1.300522e+01
3.145555821531468e-02	7.922907e-01	-1.300523e+01
3.165087071531468e-02	8.610204e-01	-1.300524e+01
3.184618321531468e-02	9.167995e-01	-1.300525e+01
3.204149571531469e-02	9.587892e-01	-1.300525e+01
3.223680821531469e-02	9.863578e-01	-1.300526e+01
3.243212071531469e-02	9.990906e-01	-1.300526e+01
3.262743321531469e-02	9.967962e-01	-1.300526e+01
3.282274571531470e-02	9.795091e-01	-1.300526e+01
3.301805821531470e-02	9.474891e-01	-1.300525e+01
3.321337071531470e-02	9.012182e-01	-1.300525e+01
3.340868321531471e-02	8.413920e-01	-1.300524e+01
3.360399571531471e-02	7.689105e-01	-1.300523e+01
3.379930821531471e-02	6.848639e-01	-1.300522e+01
3.399462071531471e-02	5.905163e-01	-1.300520e+01
3.418993321531472e-02	4.872868e-01	-1.300519e+01
3.438524571531472e-02	3.767280e-01	-1.300518e+01
3.458055821531472e-02	2.605029e-01	-1.300516e+01
3.477587071531472e-02	1.403596e-01	-1.300514e+01
3.497118321531473e-02	1.810513e-02	-1.300513e+01
3.516649571531473e-02	-1.044216e-01	-1.300511e+01
3.536180821531473e-02	-2.253778e-01	-1.300509e+01
3.555712071531474e-02	-3.429441e-01	-1.300508e+01
3.575243321531474e-02	-4.553522e-01	-1.300506e+01
3.594774571531474e-02	-5.609114e-01	-1.300505e+01
3.614305821531474e-02	-6.580338e-01	-1.300503e+01
3.633837071531475e-02	-7.452589e-01	-1.300502e+01
3.653368321531475e-02	-8.212746e-01	-1.300501e+01
3.672899571531475e-02	-8.849376e-01	-1.300500e+01
3.692430821531476e-02	-9.352903e-01	-1.300499e+01
3.711962071531476e-02	-9.715753e-01	-1.300495e+01
3.731493321531476e-02	-9.932470e-01	-1.300489e+01
3.751024571531476e-02	-9.999793e-01	-1.300486e+01
3.770555821531477e-02	-9.916710e-01	-1.300490e+01
3.790087071531477e-02	-9.684470e-01	-1.300495e+01
3.809618321531477e-02	-9.306566e-01	-1.300499e+01
3.829149571531477e-02	-8.788683e-01	-1.300500e+01
3.848680821531478e-02	-8.138611e-01	-1.300501e+01
3.868212071531478e-02	-7.366126e-01	-1.300502e+01
3.887743321531478e-02	-6.482847e-01	-1.300504e+01
3.907274571531479e-02	-5.502061e-01	-1.300505e+01
3.926805821531479e-02	-4.438519e-01	-1.300506e+01
3.946337071531479e-02	-3.308217e-01	-1.300508e+01
3.965868321531479e-02	-2.128156e-01	-1.300510e+01
3.985399571531480e-02	-9.160858e-02	-1.300511e+01
4.014696446531480e-02	9.220932e-02	-1.300514e+01
4.034227696531480e-02	2.134050e-01	-1.300515e+01
4.053758946531481e-02	3.313909e-01	-1.300517e+01
4.073290196531481e-02	4.443924e-01	-1.300518e+01
4.092821446531481e-02	5.507098e-01	-1.300520e+01
4.112352696531481e-02	6.487440e-01	-1.300521e+01
4.131883946531482e-02	7.370205e-01	-1.300522e+01
4.151415196531482e-02	8.142115e-01	-1.300523e+01
4.170946446531482e-02	8.791560e-01	-1.300524e+01
4.190477696531483e-02	9.308772e-01	-1.300525e+01
4.210008946531483e-02	9.685971e-01	-1.300526e+01
4.229540196531483e-02	9.917485e-01	-1.300526e+01
4.249071446531483e-02	9.999830e-01	-1.300526e+01
4.268602696531484e-02	9.931768e-01	-1.300526e+01
4.288133946531484e-02	9.714323e-01	-1.300526e+01
4.307665196531484e-02	9.350767e-01	-1.300525e+01
4.327196446531485e-02	8.846565e-01	-1.300524e+01
4.346727696531485e-02	8.209303e-01	-1.300524e+01
4.366258946531485e-02	7.448565e-01	-1.300523e+01
4.385790196531485e-02	6.575795e-01	-1.300521e+01
4.405321446531486e-02	5.604118e-01	-1.300520e+01
4.424852696531486e-02	4.548150e-01	-1.300519e+01
4.444383946531486e-02	3.423773e-01	-1.300517e+01
4.463915196531486e-02	2.247900e-01	-1.300515e+01
4.483446446531487e-02	1.038216e-01	-1.300514e+01
4.512743321531487e-02	-7.998312e-02	-1.300511e+01
4.532274571531487e-02	-2.014001e-01	-1.300510e+01
4.551805821531488e-02	-3.197879e-01	-1.300508e+01
