time	V(b)	V(vi)	V(vo)
2.002816092832707e-02	-3.075987e-01	8.846555e-03	6.402753e-03
2.003139997049184e-02	-4.245861e-01	9.863952e-03	3.761062e-03
2.003454832261205e-02	-4.767807e-01	1.085282e-02	-3.232776e-04
2.003550614169634e-02	-4.780703e-01	1.115366e-02	-2.199503e-04
2.003617641696894e-02	-4.772569e-01	1.136418e-02	1.763716e-04
2.003687039702200e-02	-4.779693e-01	1.158214e-02	1.264935e-04
2.004801040902390e-02	-4.846291e-01	1.508089e-02	1.032577e-04
2.005915042102581e-02	-4.904776e-01	1.857853e-02	8.413477e-05
2.007029043302771e-02	-4.955148e-01	2.207506e-02	6.912482e-05
2.008143044502961e-02	-4.997408e-01	2.557047e-02	5.822782e-05
2.009257045703151e-02	-5.031556e-01	2.906477e-02	5.144378e-05
2.010371046903342e-02	-5.057591e-01	3.255796e-02	4.877270e-05
2.011485048103532e-02	-5.075513e-01	3.605004e-02	5.021457e-05
2.019266684281919e-02	-5.211595e-01	6.038035e-02	3.546784e-05
2.029032309281919e-02	-5.324779e-01	9.070271e-02	2.791146e-05
2.048563559281920e-02	-5.461835e-01	1.502104e-01	2.189483e-05
2.068094809281920e-02	-5.546285e-01	2.074588e-01	1.960881e-05
2.087626059281920e-02	-5.606931e-01	2.615869e-01	1.825073e-05
2.107157309281920e-02	-5.652717e-01	3.117804e-01	1.733208e-05
2.126688559281921e-02	-5.688190e-01	3.572845e-01	1.664257e-05
2.146219809281921e-02	-5.715877e-01	3.974146e-01	1.608394e-05
2.165751059281921e-02	-5.737306e-01	4.315673e-01	1.560435e-05
2.185282309281921e-02	-5.753446e-01	4.592288e-01	1.517374e-05
2.204813559281922e-02	-5.764927e-01	4.799831e-01	1.477321e-05
2.224344809281922e-02	-5.772150e-01	4.935180e-01	1.438988e-05
2.243876059281922e-02	-5.775349e-01	4.996299e-01	1.401415e-05
2.263407309281923e-02	-5.774623e-01	4.982269e-01	1.363800e-05
2.282938559281923e-02	-5.769950e-01	4.893301e-01	1.325370e-05
2.302469809281923e-02	-5.761182e-01	4.730734e-01	1.285269e-05
2.322001059281923e-02	-5.748030e-01	4.497012e-01	1.242421e-05
2.341532309281924e-02	-5.730016e-01	4.195650e-01	1.195319e-05
2.361063559281924e-02	-5.706401e-01	3.831182e-01	1.141680e-05
2.380594809281924e-02	-5.676041e-01	3.409090e-01	1.077763e-05
2.400126059281925e-02	-5.637103e-01	2.935721e-01	9.968961e-06
2.419657309281925e-02	-5.586473e-01	2.418197e-01	8.858396e-06
2.439188559281925e-02	-5.518256e-01	1.864301e-01	7.139459e-06
2.458719809281925e-02	-5.419118e-01	1.282364e-01	3.900783e-06
2.468485434281925e-02	-5.347590e-01	9.836021e-02	7.685923e-07
2.478251059281926e-02	-5.243615e-01	6.811386e-02	-5.880569e-06
2.488016684281926e-02	-5.027180e-01	3.761114e-02	-3.294634e-05
2.497782309281926e-02	-4.606446e-01	6.966855e-03	-1.458256e-04
2.498568885560688e-02	-4.421299e-01	4.495918e-03	-3.650120e-04
2.500142038118211e-02	-3.310626e-01	-4.462258e-04	-1.986317e-03
2.501008817907941e-02	-1.693934e-01	-3.169274e-03	-3.961201e-03
2.501896870602707e-02	1.325253e-01	-5.959054e-03	-6.670089e-03
2.502303556205484e-02	3.163111e-01	-7.236583e-03	-6.421237e-03
2.502544976389401e-02	4.270389e-01	-7.994939e-03	-1.490705e-03
2.502679788903929e-02	4.704636e-01	-8.418407e-03	4.972238e-03
2.502747400707378e-02	4.803527e-01	-8.630785e-03	7.815773e-03
2.502798508541337e-02	4.829649e-01	-8.791321e-03	8.758558e-03
2.502829534800607e-02	4.838487e-01	-8.888777e-03	9.068125e-03
2.502864948971680e-02	4.845714e-01	-9.000016e-03	9.308664e-03
2.502946867554527e-02	4.858017e-01	-9.257329e-03	9.689590e-03
2.503140323265128e-02	4.880725e-01	-9.864977e-03	1.035461e-02
2.504532531138104e-02	5.004252e-01	-1.423797e-02	1.478354e-02
2.505924739011080e-02	5.117284e-01	-1.860914e-02	1.919905e-02
2.507316946884056e-02	5.219819e-01	-2.297849e-02	2.360114e-02
2.508709154757033e-02	5.311859e-01	-2.734602e-02	2.798981e-02
2.510101362630009e-02	5.393402e-01	-3.171172e-02	3.236507e-02
2.511493570502985e-02	5.464450e-01	-3.607560e-02	3.672692e-02
2.512885778375961e-02	5.525002e-01	-4.043765e-02	4.107535e-02
2.522651403375962e-02	5.976509e-01	-7.092149e-02	7.154176e-02
2.532417028375962e-02	6.376605e-01	-1.011384e-01	1.017423e-01
2.551948278375962e-02	7.090325e-01	-1.603179e-01	1.608781e-01
2.571479528375962e-02	7.736261e-01	-2.170861e-01	2.176007e-01
2.591010778375962e-02	8.328069e-01	-2.705891e-01	2.710609e-01
2.610542028375963e-02	8.865523e-01	-3.200222e-01	3.204554e-01
2.630073278375963e-02	9.345204e-01	-3.646419e-01	3.650417e-01
2.649604528375963e-02	9.762681e-01	-4.037770e-01	4.041494e-01
2.669135778375964e-02	1.011346e+00	-4.368389e-01	4.371904e-01
2.688667028375964e-02	1.039348e+00	-4.633304e-01	4.636677e-01
2.708198278375964e-02	1.059931e+00	-4.828529e-01	4.831831e-01
2.727729528375964e-02	1.072840e+00	-4.951129e-01	4.954433e-01
2.747260778375965e-02	1.077912e+00	-4.999259e-01	5.002637e-01
2.766792028375965e-02	1.075080e+00	-4.972196e-01	4.975720e-01
2.786323278375965e-02	1.064381e+00	-4.870346e-01	4.874086e-01
2.805854528375966e-02	1.045952e+00	-4.695242e-01	4.699264e-01
2.825385778375966e-02	1.020023e+00	-4.449517e-01	4.453884e-01
2.844917028375966e-02	9.869135e-01	-4.136868e-01	4.141638e-01
2.864448278375966e-02	9.470133e-01	-3.761995e-01	3.767222e-01
2.883979528375967e-02	9.007635e-01	-3.330539e-01	3.336269e-01
2.903510778375967e-02	8.486153e-01	-2.848988e-01	2.855263e-01
2.923042028375967e-02	7.909530e-01	-2.324587e-01	2.331441e-01
2.942573278375967e-02	7.279098e-01	-1.765221e-01	1.772690e-01
2.962104528375968e-02	6.587893e-01	-1.179304e-01	1.187437e-01
2.971870153375968e-02	6.209607e-01	-8.791313e-02	8.876355e-02
2.981635778375968e-02	5.786254e-01	-5.756497e-02	5.846284e-02
2.991401403375968e-02	5.268136e-01	-2.700015e-02	2.799555e-02
2.996742899079789e-02	4.885778e-01	-1.023177e-02	1.134148e-02
2.997963602204789e-02	4.670893e-01	-6.397358e-03	7.756910e-03
3.000405008454789e-02	3.472526e-01	1.272370e-03	3.067068e-03
3.001467875911137e-02	1.775039e-01	4.611403e-03	3.947289e-03
3.002383352480340e-02	-1.191962e-01	7.487243e-03	6.615583e-03
3.002813354283962e-02	-3.111582e-01	8.837953e-03	7.134108e-03
3.003067859814505e-02	-4.240079e-01	9.637369e-03	4.707974e-03
3.003221672838855e-02	-4.679378e-01	1.012049e-02	1.193981e-03
3.003288079507474e-02	-4.743725e-01	1.032907e-02	2.194171e-04
3.003348870156680e-02	-4.751446e-01	1.052001e-02	1.554321e-04
3.003492414288990e-02	-4.763815e-01	1.097086e-02	1.395462e-04
3.003635958421301e-02	-4.775562e-01	1.142171e-02	1.267219e-04
3.003779502553611e-02	-4.786688e-01	1.187254e-02	1.169591e-04
3.003923046685922e-02	-4.797193e-01	1.232337e-02	1.102579e-04
3.004066590818232e-02	-4.807077e-01	1.277418e-02	1.066183e-04
3.004210134950543e-02	-4.816339e-01	1.322499e-02	1.060402e-04
3.004353679082853e-02	-4.824980e-01	1.367578e-02	1.085236e-04
3.007216535813253e-02	-4.956492e-01	2.266365e-02	7.096247e-05
3.011033678120453e-02	-5.064254e-01	3.463556e-02	5.185161e-05
3.018667962734853e-02	-5.202769e-01	5.851275e-02	3.622974e-05
3.028433587734853e-02	-5.319099e-01	8.885233e-02	2.823633e-05
3.047964837734854e-02	-5.458719e-01	1.484153e-01	2.198702e-05
3.067496087734854e-02	-5.544112e-01	2.057460e-01	1.966158e-05
3.087027337734854e-02	-5.605324e-01	2.599820e-01	1.828428e-05
3.106558587734854e-02	-5.651484e-01	3.103077e-01	1.735614e-05
3.126089837734854e-02	-5.687228e-01	3.559661e-01	1.666141e-05
3.145621087734855e-02	-5.715128e-01	3.962704e-01	1.609969e-05
3.165152337734855e-02	-5.736732e-01	4.306144e-01	1.561821e-05
3.184683587734855e-02	-5.753023e-01	4.584816e-01	1.518642e-05
3.204214837734855e-02	-5.764640e-01	4.794528e-01	1.478517e-05
3.223746087734856e-02	-5.771989e-01	4.932126e-01	1.440147e-05
3.243277337734856e-02	-5.775309e-01	4.995540e-01	1.402564e-05
3.262808587734856e-02	-5.774703e-01	4.983817e-01	1.364961e-05
3.282339837734857e-02	-5.770153e-01	4.897132e-01	1.326568e-05
3.301871087734857e-02	-5.761514e-01	4.736790e-01	1.286533e-05
