time	V(n001)	V(n002)	V(n003)
3.302631669293696e-05	3.757939e-01	-5.749238e-01	4.729085e-01
3.322162919293696e-05	3.448116e-01	-6.816545e-01	4.494787e-01
3.341694169293697e-05	3.076900e-01	-7.883746e-01	4.192882e-01
3.361225419293697e-05	2.648426e-01	-8.950747e-01	3.827913e-01
3.370991044293698e-05	2.414254e-01	-9.484084e-01	3.623460e-01
3.380756669293698e-05	2.167725e-01	-1.001715e+00	3.405368e-01
3.390522294293698e-05	1.909629e-01	-1.054954e+00	3.174460e-01
3.400287919293698e-05	1.640887e-01	-1.108012e+00	2.931604e-01
3.410053544293699e-05	1.362690e-01	-1.160569e+00	2.677714e-01
3.419819169293699e-05	1.076828e-01	-1.211784e+00	2.413745e-01
3.429584794293699e-05	7.861144e-02	-1.259810e+00	2.140692e-01
3.439350419293699e-05	4.945763e-02	-1.301434e+00	1.859581e-01
3.449116044293700e-05	2.068985e-02	-1.332456e+00	1.571472e-01
3.458881669293700e-05	-7.277244e-03	-1.349011e+00	1.277448e-01
3.468647294293700e-05	-3.420492e-02	-1.349189e+00	9.786160e-02
3.478016370778595e-05	-5.900334e-02	-1.333983e+00	6.884421e-02
3.487781995778595e-05	-8.390318e-02	-1.304521e+00	3.834630e-02
3.497547620778596e-05	-1.080714e-01	-1.265033e+00	7.704072e-03
3.507313245778596e-05	-1.317057e-01	-1.218989e+00	-2.296715e-02
3.526844495778596e-05	-1.778362e-01	-1.117581e+00	-8.393516e-02
3.546375745778597e-05	-2.224706e-01	-1.012113e+00	-1.436407e-01
3.565906995778598e-05	-2.650729e-01	-9.058372e-01	-2.011858e-01
3.585438245778598e-05	-3.049139e-01	-7.994121e-01	-2.557048e-01
3.604969495778599e-05	-3.412591e-01	-6.929560e-01	-3.063778e-01
3.624500745778599e-05	-3.734179e-01	-5.864890e-01	-3.524426e-01
3.634266370778599e-05	-3.877282e-01	-5.332525e-01	-3.735274e-01
3.644031995778600e-05	-4.007615e-01	-4.800143e-01	-3.932063e-01
3.653797620778600e-05	-4.124504e-01	-4.267741e-01	-4.114053e-01
3.663563245778600e-05	-4.227328e-01	-3.735320e-01	-4.280559e-01
3.673328870778601e-05	-4.315518e-01	-3.202878e-01	-4.430953e-01
3.683094495778601e-05	-4.388559e-01	-2.670415e-01	-4.564670e-01
3.692860120778601e-05	-4.445994e-01	-2.137930e-01	-4.681207e-01
3.712391370778602e-05	-4.512514e-01	-1.072892e-01	-4.861052e-01
3.731922620778602e-05	-4.512620e-01	-7.761997e-04	-4.967782e-01
3.751453870778603e-05	-4.444854e-01	1.057464e-01	-4.999791e-01
3.770985120778603e-05	-4.308778e-01	2.122785e-01	-4.956600e-01
